"","x"
"about making the",61
"about members of",131
"about months ago",96
"about more than",107
"about most of",132
"about myself and",84
"about new york",64
"about next year",120
"about not being",87
"about not having",60
"about of the",123
"about of them",66
"about on a",84
"about once a",148
"about one in",44
"about one of",100
"about one thing",62
"about onethird of",162
"about on the",94
"about or so",71
"about other people",100
"about our new",28
"about our own",11
"about over the",141
"about percent in",16
"about percent of",159
"about percent to",26
"about per year",114
"about politics and",121
"about pounds of",118
"about ready to",177
"about right now",120
"about seconds add",101
"about seeing the",122
"about seven years",131
"about six months",136
"about six weeks",100
"about social media",164
"about so i",111
"about so many",116
"about some of",146
"about someone who",109
"about so much",111
"about square feet",179
"about starting a",153
"about such a",140
"about taking a",121
"about taking the",122
"about ten minutes",155
"about ten years",144
"about their business",44
"about their lives",36
"about their own",67
"about themselves and",136
"about these things",114
"about things and",98
"about things like",103
"about things that",152
"about those who",114
"about threequarters of",210
"about trying to",202
"about twothirds of",212
"about us and",93
"about waiting for",198
"about wanting to",197
"about was the",150
"about ways to",204
"about weeks ago",148
"about whats going",169
"about whats happening",137
"about when i",145
"about when you",136
"about where i",145
"about where the",129
"about where to",127
"about why i",143
"about why the",135
"about why you",124
"about working with",163
"about writing a",146
"about writing and",158
"about years ago",190
"about years and",105
"about years old",157
"above all else",165
"above all the",146
"above and beyond",201
"above and in",128
"above is a",163
"above is the",161
"above my head",186
"above pp and",144
"above pp see",148
"above sea level",244
"above the ground",80
"above the law",88
"above you can",200
"a bow and",192
"a bowling alley",224
"a bow tie",174
"a box and",134
"a box of",216
"a box with",109
"a boyfriend and",162
"a brain injury",172
"a branch of",204
"a brand new",243
"a brave face",201
"a breakdown of",234
"a breakout season",233
"a breast cancer",238
"a breath of",232
"a brick wall",201
"a brief moment",132
"a brief period",128
"a brief statement",124
"a brilliant idea",164
"a british accent",188
"a broad range",202
"a broken heart",175
"a broken leg",144
"absence of a",186
"absent from the",232
"absolutely have to",257
"absolutely love it",192
"absolutely love the",202
"absolutely no idea",178
"absolutely no reason",165
"absolutely nothing to",219
"a bucket list",205
"a bucket of",236
"a budget for",162
"a budget of",155
"a budget that",164
"a bugs life",281
"a building at",168
"a building in",173
"a building that",189
"a built in",285
"a bumper sticker",268
"a bump in",249
"a bunch more",98
"a bunch of",294
"a bundle of",274
"a burden on",221
"a burden to",239
"a burger and",215
"a burst of",293
"abuse and neglect",251
"abuse of power",217
"abuse of the",239
"a bus stop",180
"a bus to",199
"a button and",219
"a bygone era",287
"a byproduct of",298
"academic rank of",309
"academy of country",204
"academy of pediatrics",211
"academy of sciences",246
"a cadre of",308
"a camera and",232
"a campaign that",185
"a campaign to",237
"a candidate for",258
"a candidate in",202
"a candidate who",211
"a candle to",252
"a candy store",259
"a can of",302
"a cap on",300
"a care in",274
"a casebycase basis",321
"a cast of",275
"a catalyst for",307
"a cat that",196
"a cause for",238
"a cause of",257
"a cautionary tale",319
"acceptance of the",256
"accepted and allowed",294
"accepted by the",292
"accepted into the",298
"accepting applications for",314
"accept it and",271
"accept the fact",246
"accessible to the",266
"accompanied by a",285
"accompanied by an",230
"accompanied by the",239
"accomplish great things",342
"accordance with the",318
"accountable for the",274
"accountable for their",281
"accounted for of",247
"accounted for percent",266
"account has been",337
"accounting jobs in",350
"account of a",230
"account of the",305
"account related to",356
"accounts of the",293
"account so i",325
"account to support",271
"account was hacked",314
"account you can",320
"accuracy of the",330
"accused him of",360
"accuse me of",362
"accusing him of",356
"accusing them of",361
"accustomed to the",285
"a celebration of",341
"a cell phone",349
"a central role",261
"a century ago",301
"a century and",259
"a century of",270
"a certificate of",334
"a certified public",310
"a chain of",315
"a chair and",271
"a champagne toast",322
"a champion of",297
"a character in",285
"a character that",256
"a character who",263
"a charge of",350
"a charity event",293
"a charter school",336
"a chat with",316
"a check for",322
"a check from",269
"a check to",266
"aches and pains",380
"a childrens book",332
"a chip on",354
"a chorus of",366
"a christian and",267
"a chunk of",384
"a church in",279
"a church service",263
"a church that",268
"a circle of",303
"a citizen of",339
"a civil rights",318
"a civil war",335
"acknowledged that he",295
"acknowledged that the",332
"acknowledge that the",312
"a clash of",376
"a classically trained",394
"a classic case",265
"a classic example",276
"a clean and",290
"a clean slate",280
"a clear and",274
"a clear day",278
"a clear message",286
"a clip from",344
"a clip of",365
"a closer look",398
"a cloud of",368
"a clue about",309
"a clue what",335
"a cluster of",412
"a coach and",298
"a coach who",313
"a coalition of",401
"a coat of",388
"a cocktail party",323
"a coffee and",335
"a coffee shop",374
"a coincidence that",368
"a collaboration between",368
"a collaboration with",369
"a collage of",398
"a colleague of",356
"a collection of",427
"a collision with",385
"a columnist for",403
"a combination of",431
"a combo of",397
"a comic book",404
"a commercial for",354
"a commitment to",421
"a committee of",353
"a common problem",305
"a common theme",319
"a competitive advantage",363
"a compilation of",424
"a complaint about",342
"a complaint with",364
"a completely different",413
"a completely new",351
"a computer and",321
"a computer program",305
"a computer screen",323
"a concern about",363
"a concern for",375
"a concert and",366
"a concerted effort",444
"a concert in",366
"a concussion and",371
"a condition of",406
"a condition that",383
"a conference call",418
"a conference in",339
"a conference room",327
"a conflict of",415
"a confrontation with",415
"a congressional hearing",393
"a connection between",383
"a connection to",417
"a connection with",389
"a conscious decision",423
"a consent agreement",455
"a consequence of",432
"a considerable amount",413
"a consortium of",461
"a constitutional amendment",447
"a consultant for",397
"a consultant to",408
"a container of",426
"a contest to",383
"a continuation of",476
"a contractor to",412
"a contributing factor",461
"a contribution to",447
"a control freak",455
"a controlled substance",459
"a convenience store",474
"a cookie sheet",406
"a cooking class",432
"a cool idea",333
"a cooling rack",459
"a cool new",335
"a cool place",343
"a copy of",479
"a copy to",341
"a core of",423
"a corner and",408
"a corner of",397
"a cornucopia of",493
"a cost of",467
"a country that",412
"a country where",421
"a country with",379
"a coupon for",458
"a course in",413
"a course of",438
"a cover for",419
"a cover of",423
"a cowboy hat",452
"acquainted with the",462
"acquired by the",460
"a crack at",435
"a crack in",454
"a crash course",444
"a craving for",479
"a crazy day",373
"a crazy person",396
"a crazy week",375
"a creative outlet",404
"a creative way",405
"a credit card",485
"a credit to",425
"acres of land",430
"acres of the",423
"a crew of",477
"a critique of",492
"across as a",464
"a cross between",481
"a cross country",415
"across from me",411
"across from the",491
"across north america",529
"across state lines",520
"across to the",488
"a crowd of",506
"a crucial role",435
"a cruise ship",455
"a crush on",523
"act as a",479
"act as an",424
"act as if",463
"act but a",497
"acted as a",487
"acted in selfdefense",507
"act for the",490
"act in a",441
"acting as a",502
"acting essex county",547
"acting like a",494
"act in the",486
"action against the",502
"action by the",510
"action has been",533
"action in the",499
"action is the",459
"action of the",493
"action on the",510
"actions in the",506
"actions of the",502
"actions speak louder",552
"active in the",510
"actively involved in",549
"actively looking for",549
"actively trying to",562
"active member of",558
"active role in",555
"activist chen guangcheng",561
"activities for the",514
"activities of the",528
"activities such as",568
"activity at the",529
"activity in the",534
"act of kindness",435
"act of the",443
"act of valor",418
"act on it",483
"act on the",506
"actor in a",549
"actors and actresses",505
"actors in the",533
"actress in a",553
"acts as a",550
"acts like a",534
"acts of kindness",508
"acts of the",473
"acts of violence",490
"actually a little",446
"actually a lot",464
"actually be a",502
"actually care about",554
"actually do it",509
"actually get to",503
"actually going to",573
"actually go to",540
"actually got to",517
"actually had a",543
"actually had to",519
"actually has a",538
"actually have a",540
"actually have to",515
"actually in the",554
"actually it was",560
"actually kind of",602
"actually know what",549
"actually looking forward",575
"actually looks like",583
"actually made it",531
"actually make a",534
"actually one of",594
"actually on the",555
"actually pretty good",542
"actually see the",551
"actually the first",498
"actually wanted to",591
"actually want to",599
"actually went to",573
"a cue from",597
"a culture of",572
"a culture that",544
"a culture where",518
"a cup of",610
"a cure for",589
"a customer service",535
"a cute little",541
"acutely aware of",612
"a cut in",549
"a cutting board",597
"a cuyahoga county",626
"a cycle of",606
"a daily basis",598
"adam and eve",588
"a damn about",512
"a damn good",539
"a damn thing",536
"a damper on",634
"a dance party",531
"a dance with",552
"a danger to",597
"adaptation of the",589
"adapted from the",577
"adapted to the",595
"a dark and",520
"a dark room",502
"a dark side",495
"a dash of",638
"a daughter of",553
"a daunting task",614
"add an extra",580
"add boston add",639
"add cup of",611
"added in the",588
"added it to",599
"added points and",612
"added up to",640
"add garlic and",637
"addicted to the",550
"adding insult to",655
"adding that he",578
"adding that it",514
"adding that the",592
"adding to my",561
"adding to the",627
"add in the",621
"addition of a",563
"addition of the",569
"additions to the",625
"add it to",644
"add me on",627
"add me to",581
"address and i",568
"address in the",610
"address on the",618
"address the issue",565
"address the problem",564
"address to the",596
"add salt and",646
"adds to the",651
"adds up to",657
"add that i",578
"add that the",579
"add that to",602
"add them to",665
"add this to",633
"add up to",649
"add value to",655
"add you to",654
"a dead body",589
"a dead end",600
"a deadly weapon",618
"a dear friend",659
"a death sentence",624
"a debate about",607
"a debt of",628
"a decent amount",575
"a decline in",677
"a decrease in",676
"a deep and",551
"a deep breath",631
"a deeper understanding",608
"a de facto",682
"a defense that",611
"a deficit in",626
"a defining moment",673
"a degree in",658
"a degree of",616
"a delay in",656
"a delegation of",690
"a delight to",652
"a deluge of",700
"a democrat and",609
"a democrat from",627
"a democrat who",611
"a demonstration of",658
"a dent in",701
"a department of",651
"a departure from",698
"a depth of",694
"a descendant of",713
"a description of",707
"a design that",630
"a desire for",647
"a desire to",705
"a desperate attempt",646
"a destination for",645
"a device that",668
"ad for a",652
"adhere to the",681
"a dialogue with",688
"a die hard",682
"a diet and",625
"a diet coke",626
"a difficult decision",609
"a difficult task",610
"a difficult time",654
"a digital camera",638
"a dining room",693
"a dinner party",666
"ad in the",695
"a dip in",693
"a direct link",625
"a direct message",660
"a director of",694
"a direct result",638
"a dirty word",646
"a discount on",669
"a disease that",673
"a display of",723
"a dispute over",682
"a disservice to",719
"a distant memory",668
"a distant second",658
"a distinction between",722
"a distraction from",696
"a district that",656
"a division i",692
"a division of",705
"adjacent to the",732
"adjusted for inflation",737
"adjust to the",686
"administration and the",685
"administration of the",699
"administrator of the",742
"admission is for",686
"admission is free",728
"admission to the",713
"admit it but",656
"admit it i",677
"admit it you",641
"admitted he was",707
"admitted that he",717
"admitted that she",674
"admitted to a",656
"admitted to the",699
"admit to being",689
"a dm with",680
"a doctorate in",761
"a documentary about",718
"a documentary on",692
"a dollar for",671
"a dollop of",778
"a domestic violence",704
"a donation of",681
"a donation to",737
"a done deal",777
"adopted by the",735
"a dose of",783
"a doubt that",688
"a doubt the",696
"a down payment",729
"a draft of",716
"a draft pick",707
"a drag queen",738
"a drawing for",731
"a dress and",674
"a dress for",675
"a drinking problem",748
"a drivers license",781
"a drive to",734
"a driving force",745
"a drizzle of",792
"a drop in",768
"a drop of",747
"a drug dealer",696
"a drug test",692
"a drug that",675
"a dull moment",763
"adults and children",730
"adults and for",727
"adults in the",750
"a dumb ass",729
"a dusting of",806
"a dutch oven",764
"a duty to",796
"advance at the",786
"advanced to the",798
"advance in the",777
"advance of the",772
"advances to the",779
"advance to the",785
"advancing to the",790
"advantage in the",779
"advent of the",757
"advertising and linking",788
"advertising and marketing",719
"advertising fees by",825
"advice from a",739
"advice from the",743
"advice if you",814
"advice is to",778
"advice on how",773
"advice on the",723
"advice would you",804
"adviser to the",783
"advise you to",815
"advocate for a",731
"advocate for the",765
"a edge in",814
"a era and",760
"a era in",789
"a fabulous day",734
"a fabulous time",709
"a fabulous weekend",732
"a face and",747
"a facebook account",724
"a facebook page",785
"a face to",754
"a facility that",786
"a fact of",756
"a factor in",807
"a factor of",743
"a fact that",787
"a failure of",760
"a failure to",781
"a fairly good",744
"a fairy tale",829
"a false sense",769
"a familiar face",785
"a farmers market",841
"a farm in",769
"a fascination with",844
"a fashion show",791
"a fast food",771
"a father and",774
"a father of",764
"a father who",753
"a favor and",817
"a favorite of",783
"afc championship game",845
"a fear of",837
"a feature film",794
"a feature of",786
"a feature on",775
"a fee for",788
"a feel for",855
"a fee to",793
"a fever and",799
"affair with a",792
"affair with the",787
"affected by a",742
"affected by the",848
"affiliated with the",838
"affiliation with the",856
"affordable care act",880
"affordable health care",871
"afghanistan and iraq",800
"afghanistan and pakistan",787
"afghan president hamid",878
"afghan security forces",882
"a fielders choice",887
"a fifth of",831
"a film about",767
"a film that",797
"a final decision",792
"a final four",773
"a finalist for",866
"a final vote",752
"a financial crisis",790
"a firm believer",818
"a firm foundation",780
"a firstround pick",840
"a fit of",841
"a five minute",821
"a five year",830
"a fiveyear contract",800
"a fiveyear million",815
"a fixture in",864
"a flash mob",816
"a flash of",831
"a flat tire",821
"a fleet of",899
"a flight of",817
"a flight to",841
"a flock of",907
"a flood of",891
"a flurry of",912
"a fly ball",842
"a fly on",830
"a focal point",912
"a focus on",888
"a follower of",860
"a fondness for",920
"a food processor",869
"a food truck",804
"a fool for",801
"a fool of",812
"a force of",846
"a force to",843
"a foreign country",854
"a foreign language",854
"a fork in",845
"a form of",917
"a for the",827
"a forum for",877
"a foul ball",850
"a foul on",855
"a foundation for",870
"a founder of",931
"a founding member",922
"a fouryear college",842
"a fouryear million",847
"a fraction of",937
"afraid of being",787
"afraid of the",864
"afraid of what",805
"afraid that i",855
"a framework for",910
"a franchise that",856
"a freelance writer",910
"a freight train",938
"a fresh look",817
"a freshman and",846
"a freshman at",857
"a freshman in",840
"a fresh start",866
"africa and the",874
"a friday afternoon",853
"a friday night",907
"a fried egg",937
"a friendship with",906
"a friend’s house",921
"a friends house",904
"a front row",881
"a fruit salad",882
"a frying pan",961
"after about a",887
"after about minutes",903
"after an extended",817
"after an hour",861
"after arriving in",937
"after being in",818
"after being shot",816
"after being told",806
"after consulting with",950
"after days of",944
"after decades of",966
"after dinner we",914
"after each addition",913
"after eight years",939
"after finding out",920
"after five years",921
"after four years",924
"after getting a",900
"after giving up",935
"after going through",910
"after going to",903
"after graduating from",965
"after having a",896
"after having been",887
"after hearing about",890
"after hearing the",905
"after her death",861
"after high school",990
"after hours of",940
"after just a",957
"after labor day",990
"after last night",904
"after last nights",925
"after last years",898
"after leading the",981
"after learning that",942
"after leaving the",958
"after listening to",1001
"after living in",975
"after looking at",983
"after losing to",928
"after lunch we",947
"after making a",946
"after making the",944
"after many years",943
"aftermath of a",912
"aftermath of the",974
"after meeting with",953
"after midnight on",924
"after minutes of",936
"after missing the",959
"after months of",1002
"after more than",1011
"after moving to",970
"after my first",881
"after my last",902
"after my own",879
"after nearly years",961
"afternoon and evening",910
"afternoon at the",983
"afternoon in the",958
"afternoon it was",996
"after one of",988
"after party at",941
"after pleading guilty",1013
"after pm and",930
"after receiving a",974
"after returning from",1014
"after reviewing the",999
"after school and",908
"after seeing a",918
"after seeing the",976
"after serving as",974
"after seven years",1003
"after several years",967
"after she had",908
"after she was",950
"after six months",987
"after so many",1004
"after some time",952
"after spending a",948
"after spending the",963
"after such a",1030
"after suffering a",1022
"after taking a",990
"after taking the",961
"after talking to",1012
"after they are",919
"after they have",916
"after they were",969
"after this season",927
"after this weekend",912
"after trying to",1015
"after two days",940
"after two weeks",956
"after two years",972
"after watching a",960
"after watching the",995
"after weeks of",1038
"after we got",957
"after we had",950
"after which he",992
"after winning a",980
"after winning the",1015
"after work and",963
"after work i",948
"after world war",1068
"after years as",925
"after years in",945
"after years of",1047
"after you have",975
"a fuck about",995
"a fucked up",1075
"a fulltime job",1016
"a function of",1064
"a fundraiser for",1036
"a funny guy",957
"a funny thing",996
"a future in",948
"a future of",945
"a future post",946
"a gaggle of",1085
"again after a",1000
"again as a",984
"again as i",994
"again as the",992
"again at the",1037
"again because i",1028
"again but i",993
"again but this",966
"again by the",1042
"again from the",1023
"again he said",1015
"again he was",996
"again if i",1010
"again if the",1001
"again if you",1039
"again in a",1011
"again in my",954
"again in the",1045
"again it is",1020
"again it was",1049
"again last night",1070
"again next week",1043
"again next year",1067
"a gain of",1091
"again on monday",995
"again on the",1044
"again so i",1029
"against all odds",1055
"against a team",977
"against a wall",996
"against breast cancer",1109
"against each other",1115
"against gay marriage",1104
"against him and",1019
"against him in",1002
"against his former",1017
"against it and",1015
"against new york",1077
"against one another",1075
"against one of",1082
"against san jose",1082
"against some of",1091
"against their will",1046
"against them and",1022
"against those who",1097
"against women act",1083
"again thanks to",1093
"again thank you",1114
"again that is",1025
"again that the",1037
"again the next",999
"again we are",1056
"again we have",1053
"again when i",1053
"again when the",1047
"again with a",1058
"again with the",1078
"a gallon of",1092
"a gamehigh points",1136
"a gang member",1079
"a gang of",1103
"a gap in",1104
"a garage sale",1092
"a garden of",1043
"a gas leak",1057
"a gas station",1112
"a gated community",1133
"a gateway to",1109
"a gathering of",1124
"a gay man",1048
"age and older",1034
"age and the",1015
"age from to",1127
"age i was",1079
"agencies including the",1146
"agencies such as",1160
"agency and the",1076
"agency in the",1092
"agency said in",1074
"agency said it",1079
"a general election",1052
"a general rule",1065
"a general strike",1057
"a generation ago",1065
"a generation of",1115
"agent for the",1121
"agent in charge",1125
"a gentleman and",1100
"age or older",1095
"ages of and",1141
"aggravated assault and",1114
"a ghost town",1103
"a giants fan",1145
"a gig at",1096
"a girls night",1103
"a glance at",1128
"a glass of",1159
"a glimmer of",1180
"a glimpse at",1065
"a glimpse into",1109
"a glimpse of",1173
"ago according to",1187
"ago after a",1136
"ago as a",1134
"a go at",1099
"ago at the",1148
"ago but i",1104
"ago but it",1065
"ago but the",1090
"a god and",1077
"a god who",1105
"ago for the",1128
"ago he had",1092
"ago he said",1112
"ago he was",1111
"ago in a",1099
"ago in the",1129
"ago it was",1159
"a golden globe",1114
"a gold medal",1106
"a golf course",1137
"a google search",1133
"ago on a",1141
"ago one of",1194
"ago on the",1129
"a gorgeous day",1131
"ago so i",1146
"ago that he",1094
"ago that i",1113
"ago that the",1119
"ago there was",1180
"ago there were",1163
"ago they were",1136
"ago today i",1151
"a government shutdown",1087
"a government that",1096
"ago we had",1139
"ago we were",1145
"ago with a",1146
"ago with the",1162
"a grad student",1196
"a graduate of",1209
"a graduate student",1139
"a grain of",1222
"a grand jury",1171
"a grand slam",1127
"a grand total",1120
"a grant from",1192
"a grant to",1146
"a graphic designer",1184
"a gr day",1179
"agreed it was",1208
"agreed not to",1224
"agreed that it",1135
"agreed that the",1167
"agreed with the",1183
"agreeing to a",1154
"agree i think",1162
"agreement between the",1219
"agreement on a",1185
"agreement with the",1207
"a green card",1114
"a green light",1132
"agree on a",1175
"agree on the",1156
"agree or disagree",1220
"agrees with me",1183
"agree that it",1127
"agree that the",1165
"agree that we",1119
"agree to a",1151
"agree to disagree",1147
"a grilled cheese",1217
"a grip on",1203
"a grocery store",1238
"a ground ball",1218
"a grounder to",1231
"a growing number",1198
"a grown man",1225
"a grown up",1208
"a grudge against",1226
"a guide to",1226
"a gunshot wound",1247
"a habit of",1230
"a hair cut",1199
"a halftime lead",1249
"a hallmark of",1239
"a hall of",1265
"a hamstring injury",1253
"a handful of",1273
"a handle on",1267
"a harder time",1255
"a harry potter",1273
"a hat and",1193
"a hate crime",1264
"a haven for",1255
"ahead for the",1218
"ahead in the",1245
"a heads up",1282
"ahead with a",1188
"ahead with the",1222
"a health care",1210
"a heap of",1274
"a hearing in",1194
"a hearing on",1224
"a heavy heart",1166
"a heck of",1292
"a hedge fund",1254
"a height of",1273
"a hell of",1288
"a helping hand",1289
"a herd of",1289
"a hero and",1188
"a hero to",1201
"a highlight of",1245
"ah i love",1209
"a hint of",1288
"a hip hop",1250
"a history of",1289
"a hockey game",1249
"a holding cell",1275
"a hold of",1291
"a hold on",1238
"a hole in",1279
"a holiday to",1197
"a homeless guy",1217
"a homeless man",1253
"a homeless person",1241
"a horrible person",1212
"a horror film",1248
"a horror movie",1259
"a horse and",1213
"a horse to",1196
"a hospital bed",1203
"a hospital for",1206
"a hospital in",1222
"a host of",1317
"a hotbed of",1306
"a hotel and",1203
"a hotel in",1215
"a hotel room",1248
"a hour drive",1211
"a hour nap",1190
"a household name",1282
"ah thank you",1325
"a hug and",1256
"a hug from",1215
"a human being",1272
"a human body",1184
"a human rights",1189
"a hundred and",1216
"a hundred times",1229
"a hundred years",1258
"a hurry to",1265
"a husband and",1274
"a hybrid of",1280
"ah yes the",1281
"aid to the",1275
"aim at the",1289
"aimed at the",1244
"aim for the",1292
"aim is to",1326
"aim of the",1281
"a increase in",1314
"aint been on",1315
"aint better than",1348
"a interview with",1323
"aint got no",1297
"a in the",1289
"aint that the",1307
"aint the same",1299
"air and the",1256
"air conditioning and",1259
"air force base",1282
"air force one",1256
"air in the",1293
"air on the",1297
"airs at pm",1350
"air traffic control",1303
"air traffic controllers",1311
"a jar of",1327
"a jersey city",1312
"a joint statement",1269
"a joint venture",1288
"a journey of",1291
"a journey that",1267
"a journey to",1277
"a joy to",1343
"a jumble of",1366
"a jump in",1287
"a jump on",1311
"a junior and",1260
"a junior at",1289
"a junior in",1274
"a jury found",1269
"a jury in",1270
"a jury trial",1281
"a kansas city",1358
"a kick ass",1302
"a kick in",1310
"a kick out",1341
"a kind of",1375
"akin to the",1317
"a kiss and",1283
"a kiss on",1319
"a knack for",1389
"a knee injury",1353
"a knife and",1310
"a knife to",1296
"a knock on",1356
"a labor of",1336
"a la carte",1333
"a lack of",1399
"a lady think",1287
"a laker fan",1378
"a land of",1326
"a laptop computer",1321
"a larceny was",1400
"alarm goes off",1405
"alarm went off",1405
"a lasting impression",1344
"a last minute",1353
"a last resort",1333
"a las vegas",1399
"a late lunch",1279
"a late night",1342
"a later date",1367
"a later time",1306
"a late start",1300
"a laundry list",1395
"a lawsuit against",1350
"a lawsuit filed",1319
"a lawsuit in",1312
"a layer of",1413
"a lazy day",1344
"albert pujols and",1329
"album comes out",1419
"album in the",1380
"album of the",1384
"alcohol by volume",1421
"alcohol in the",1369
"alcohol or drugs",1388
"alcohol tobacco firearms",1401
"a leadership role",1385
"a leadoff single",1368
"a leadoff walk",1365
"a league of",1353
"a leap of",1392
"a learning curve",1348
"a learning experience",1381
"a leave of",1415
"a legacy of",1380
"a legal battle",1322
"a legal challenge",1319
"a legend in",1367
"a leg up",1346
"a length of",1424
"a lesser extent",1373
"a lesson in",1382
"a lesson to",1329
"a less than",1342
"a let down",1439
"a level of",1405
"a level playing",1343
"a level that",1347
"alexander the great",1437
"alex and i",1398
"alex is sexy",1398
"a liar and",1378
"a library of",1353
"alice in chains",1389
"alice in wonderland",1443
"a license for",1362
"a license to",1402
"a lie and",1339
"a lie i",1340
"a lifetime of",1385
"a lighter note",1384
"a lightly floured",1430
"aligned with the",1408
"a like button",1419
"a lil bit",1390
"a lil more",1332
"a lineup of",1406
"a liquor store",1439
"a list and",1300
"a listen and",1394
"a listing of",1456
"a list of",1464
"a litany of",1475
"alive and well",1420
"a live band",1339
"alive in the",1424
"all across the",1461
"all adds up",1475
"all ages and",1392
"all agree that",1446
"all alone in",1424
"all along that",1361
"all along the",1416
"all and i",1383
"all and the",1341
"all areas of",1463
"all are the",1352
"all are welcome",1386
"all aspects of",1486
"all at once",1458
"all at the",1438
"all because i",1420
"all because of",1440
"all been there",1392
"all by himself",1407
"all by myself",1435
"all came to",1431
"all caught up",1485
"all come from",1440
"all comes down",1467
"all comes together",1438
"all corners of",1489
"all depends on",1499
"all do it",1407
"all dressed up",1491
"all due respect",1484
"alleged to have",1500
"alleges that the",1451
"all else fails",1458
"all end up",1487
"all excited about",1451
"all figured out",1512
"all five of",1458
"all forms of",1505
"all four of",1452
"all from the",1470
"all goes well",1491
"all going to",1497
"all good i",1367
"all good now",1364
"all good things",1405
"all go to",1443
"all grown up",1516
"all had a",1495
"all has been",1477
"all having a",1508
"all her life",1406
"all his life",1403
"all honesty i",1487
"all hours of",1515
"all human beings",1484
"all if the",1445
"all if you",1477
"all im saying",1457
"all ingredients in",1488
"all intents and",1531
"all its a",1405
"all its glory",1402
"all just a",1445
"all just get",1433
"all kind of",1541
"all kinds of",1540
"all last week",1501
"all levels of",1500
"all like the",1463
"all like to",1479
"all make mistakes",1495
"all manner of",1551
"all members of",1529
"all men are",1490
"all messed up",1550
"all need a",1448
"all need to",1530
"all next week",1526
"— all of",1482
"– all of",1476
"all or nothing",1494
"all or part",1459
"all out and",1460
"all out of",1471
"all out on",1437
"allowed four runs",1537
"allowed her to",1552
"allowed him to",1564
"allowed in the",1515
"allowed into the",1544
"allowed it to",1542
"allowed just one",1516
"allowed me to",1570
"allowed myself to",1568
"allowed one run",1530
"allowed on the",1544
"allowed them to",1574
"allowed three hits",1527
"allowed three runs",1532
"allowed two runs",1554
"allowed us to",1572
"allow for a",1495
"allow for the",1491
"allow her to",1560
"allow him to",1578
"allowing him to",1576
"allowing it to",1574
"allowing me to",1582
"allowing them to",1582
"allowing us to",1581
"allowing you to",1584
"allow it to",1569
"allow me to",1588
"allow myself to",1575
"allow people to",1581
"allows for a",1513
"allows for the",1499
"allows him to",1593
"allows it to",1573
"allows me to",1597
"allows people to",1592
"allows them to",1599
"allow students to",1584
"allows users to",1599
"allows us to",1596
"allows you to",1602
"allow them to",1601
"allow to cool",1563
"allow us to",1603
"allow yourself to",1601
"allow you to",1606
"all packed up",1585
"all part of",1612
"all parts of",1600
"all proceeds go",1549
"all purpose flour",1596
"all ready for",1548
